home_avg_goals_scored_l5,home_avg_goals_conceded_l5,home_ppg_l5,home_win_rate_l5,home_form_momentum,home_scoring_consistency,home_availability_rate,home_key_players_out,away_avg_goals_scored_l5,away_avg_goals_conceded_l5,away_ppg_l5,away_win_rate_l5,away_form_momentum,away_scoring_consistency,away_availability_rate,away_key_players_out,home_prev_gw_result,home_prev_gw_goals_scored,home_prev_gw_goals_conceded,home_prev_gw_was_home,home_days_since_last_match,home_prev_gw_result_encoded,away_prev_gw_result,away_prev_gw_goals_scored,away_prev_gw_goals_conceded,away_prev_gw_was_home,away_days_since_last_match,away_prev_gw_result_encoded,home_league_position,home_points,home_goal_difference,home_position_category,home_position_category_encoded,away_league_position,away_points,away_goal_difference,away_position_category,away_position_category_encoded,h2h_matches,h2h_home_goals_avg,h2h_away_goals_avg,attack_differential,defense_differential,form_differential,availability_differential,rest_differential,position_differential,points_differential,goal_difference_differential,home_position_strength,away_position_strength,gameweek,home_goals,away_goals,season,home_avg_goals_scored_l10,home_avg_goals_conceded_l10,home_ppg_l10,home_win_rate_l10,home_clean_sheets_l5,home_btts_l5,home_high_scoring_rate,home_low_scoring_rate,home_squad_depth,home_venue_ppg,home_venue_goals_avg,away_avg_goals_scored_l10,away_avg_goals_conceded_l10,away_ppg_l10,away_win_rate_l10,away_clean_sheets_l5,away_btts_l5,away_high_scoring_rate,away_low_scoring_rate,away_squad_depth,away_venue_ppg,away_venue_goals_avg
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,0.0,2.0,0,6,-1,W,2.0,1.0,1,7,1,13,3,-1,mid_table,2,11,3,0,mid_table,2,0,1.5,1.5,0.0,0.0,0.0,0.0,-1,-2,0,-1,0.4,0.5,3,3,2,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,W,1.0,0.0,0,4,1,L,0.0,3.0,1,7,-1,4,6,2,top_4,4,14,3,-2,mid_table,2,0,1.5,1.5,0.0,0.0,0.0,0.0,-3,10,3,4,0.85,0.35,3,2,2,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,W,3.0,0.0,0,7,1,L,0.0,1.0,1,4,-1,6,4,3,top_half,3,13,3,0,mid_table,2,0,1.5,1.5,0.0,0.0,0.0,0.0,3,7,1,3,0.75,0.4,3,1,1,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,W,4.0,1.0,0,7,1,W,3.0,1.0,1,6,1,3,6,6,top_4,4,7,4,2,top_half,3,0,1.5,1.5,0.0,0.0,0.0,0.0,1,4,2,4,0.9,0.7,3,1,3,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,1.0,2.0,0,8,-1,W,1.0,0.0,1,7,1,17,0,-2,bottom_half,1,5,6,4,top_half,3,0,1.5,1.5,0.0,0.0,0.0,0.0,1,-12,-6,-6,0.2,0.8,3,1,2,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,0.0,3.0,1,15,-1,W,4.0,0.0,1,7,1,18,0,-3,relegation,0,13,3,0,mid_table,2,0,1.5,1.5,0.0,0.0,0.0,0.0,8,-5,-3,-3,0.15,0.4,3,1,3,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,0.0,1.0,0,7,-1,W,3.0,1.0,1,8,1,13,3,3,mid_table,2,9,4,2,top_half,3,0,1.5,1.5,0.0,0.0,0.0,0.0,-1,-4,-1,1,0.4,0.6,3,1,2,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,0.0,3.0,0,7,-1,W,3.0,1.0,0,6,1,19,0,-6,relegation,0,2,7,4,top_4,4,0,1.5,1.5,0.0,0.0,0.0,0.0,1,-17,-7,-10,0.1,0.95,4,1,2,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,1.0,2.0,1,5,-1,L,0.0,1.0,1,6,-1,17,0,-3,bottom_half,1,19,0,-6,relegation,0,0,1.5,1.5,0.0,0.0,0.0,0.0,-1,2,0,3,0.2,0.1,4,2,2,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,D,1.0,1.0,1,7,0,L,0.0,2.0,1,7,-1,9,5,3,top_half,3,17,1,-4,bottom_half,1,0,1.5,1.5,0.0,0.0,0.0,0.0,0,8,4,7,0.6,0.2,4,2,2,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,1.0,3.0,1,6,-1,W,2.0,0.0,0,7,1,19,0,-5,relegation,0,3,7,4,top_4,4,0,1.5,1.5,0.0,0.0,0.0,0.0,-1,-16,-7,-9,0.1,0.9,4,2,5,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,W,3.0,0.0,1,7,1,L,2.0,3.0,0,7,-1,10,4,1,top_half,3,14,3,-1,mid_table,2,0,1.5,1.5,0.0,0.0,0.0,0.0,0,4,1,2,0.55,0.35,4,0,1,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,W,2.0,1.0,0,6,1,D,2.0,2.0,0,7,0,3,9,5,top_4,4,13,4,-2,mid_table,2,0,1.5,1.5,0.0,0.0,0.0,0.0,-1,10,5,7,0.9,0.4,4,5,1,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,1.0,3.0,1,7,-1,L,1.0,2.0,1,6,-1,6,6,4,top_half,3,14,3,2,mid_table,2,0,1.5,1.5,0.0,0.0,0.0,0.0,1,8,3,2,0.75,0.35,4,3,1,2023-24,,,,,,,,,,,,,,,,,,,,,,
