home_avg_goals_scored_l5,home_avg_goals_conceded_l5,home_ppg_l5,home_win_rate_l5,home_form_momentum,home_scoring_consistency,home_availability_rate,home_key_players_out,away_avg_goals_scored_l5,away_avg_goals_conceded_l5,away_ppg_l5,away_win_rate_l5,away_form_momentum,away_scoring_consistency,away_availability_rate,away_key_players_out,home_prev_gw_result,home_prev_gw_goals_scored,home_prev_gw_goals_conceded,home_prev_gw_was_home,home_days_since_last_match,home_prev_gw_result_encoded,away_prev_gw_result,away_prev_gw_goals_scored,away_prev_gw_goals_conceded,away_prev_gw_was_home,away_days_since_last_match,away_prev_gw_result_encoded,home_league_position,home_points,home_goal_difference,home_position_category,home_position_category_encoded,away_league_position,away_points,away_goal_difference,away_position_category,away_position_category_encoded,h2h_matches,h2h_home_goals_avg,h2h_away_goals_avg,attack_differential,defense_differential,form_differential,availability_differential,rest_differential,position_differential,points_differential,goal_difference_differential,home_position_strength,away_position_strength,gameweek,home_goals,away_goals,season,home_avg_goals_scored_l10,home_avg_goals_conceded_l10,home_ppg_l10,home_win_rate_l10,home_clean_sheets_l5,home_btts_l5,home_high_scoring_rate,home_low_scoring_rate,home_squad_depth,home_venue_ppg,home_venue_goals_avg,away_avg_goals_scored_l10,away_avg_goals_conceded_l10,away_ppg_l10,away_win_rate_l10,away_clean_sheets_l5,away_btts_l5,away_high_scoring_rate,away_low_scoring_rate,away_squad_depth,away_venue_ppg,away_venue_goals_avg
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,D,1.0,1.0,0,7,0,W,1.0,0.0,0,7,1,12,4,0,mid_table,2,15,3,-3,bottom_half,1,0,1.5,1.5,0.0,0.0,0.0,0.0,0,3,1,3,0.45,0.3,4,3,2,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,W,2.0,1.0,0,6,1,W,3.0,1.0,0,7,1,5,7,3,top_half,3,9,6,2,top_half,3,0,1.5,1.5,0.0,0.0,0.0,0.0,-1,4,1,1,0.8,0.6,4,3,0,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,D,2.0,2.0,1,8,0,W,3.0,2.0,1,8,1,6,7,2,top_half,3,10,6,0,top_half,3,0,1.5,1.5,0.0,0.0,0.0,0.0,0,4,1,2,0.75,0.55,4,3,1,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,2.0,3.0,0,12,-1,W,3.0,0.0,1,12,1,15,3,-4,bottom_half,1,3,10,6,top_4,4,0,1.5,1.5,0.0,0.0,0.0,0.0,0,-12,-7,-10,0.3,0.9,5,1,3,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,W,2.0,1.0,0,14,1,W,5.0,1.0,1,14,1,4,10,5,top_4,4,2,12,9,top_4,4,0,1.5,1.5,0.0,0.0,0.0,0.0,0,-2,-2,-4,0.85,0.95,5,1,3,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,1.0,3.0,0,12,-1,W,3.0,1.0,1,13,1,11,6,-2,mid_table,2,6,9,6,top_half,3,0,1.5,1.5,0.0,0.0,0.0,0.0,-1,-5,-3,-8,0.5,0.75,5,1,3,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,W,5.0,2.0,0,14,1,D,2.0,2.0,1,14,0,4,10,7,top_4,4,17,1,-3,bottom_half,1,0,1.5,1.5,0.0,0.0,0.0,0.0,0,13,9,10,0.85,0.2,5,2,1,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,0.0,3.0,0,13,-1,W,3.0,2.0,1,13,1,10,6,-1,top_half,3,7,7,1,top_half,3,0,1.5,1.5,0.0,0.0,0.0,0.0,0,-3,-1,-2,0.55,0.7,5,3,1,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,1.0,5.0,0,14,-1,L,1.0,2.0,1,14,-1,13,4,-6,mid_table,2,19,0,-7,relegation,0,0,1.5,1.5,0.0,0.0,0.0,0.0,0,6,4,1,0.4,0.1,5,1,0,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,L,1.0,3.0,0,14,-1,D,2.0,2.0,1,14,0,14,3,0,mid_table,2,10,6,3,top_half,3,0,1.5,1.5,0.0,0.0,0.0,0.0,0,-4,-3,-3,0.35,0.55,5,1,0,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,D,2.0,2.0,0,14,0,L,0.0,1.0,1,14,-1,16,2,-4,bottom_half,1,14,4,0,mid_table,2,0,1.5,1.5,0.0,0.0,0.0,0.0,0,-2,-2,-4,0.25,0.35,5,0,0,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,D,2.0,2.0,0,15,0,W,3.0,1.0,1,14,1,18,1,-6,relegation,0,5,10,4,top_half,3,0,1.5,1.5,0.0,0.0,0.0,0.0,1,-13,-9,-10,0.15,0.8,5,0,1,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,W,1.0,0.0,0,16,1,L,2.0,5.0,1,16,-1,12,6,0,mid_table,2,19,0,-8,relegation,0,0,1.5,1.5,0.0,0.0,0.0,0.0,0,7,6,8,0.45,0.1,5,1,1,2023-24,,,,,,,,,,,,,,,,,,,,,,
1.2,1.4,1.4,0.4,-0.75,0.47722557505166113,100.0,0,1.0,2.0,1.4,0.4,0.0,0.585786437626905,100.0,0,L,1.0,3.0,0,7,-1,W,1.0,0.0,1,7,1,9,7,-1,top_half,3,10,7,-5,top_half,3,0,1.5,1.5,0.19999999999999996,0.6000000000000001,0.0,0.0,0,1,0,4,0.6,0.55,6,0,0,2023-24,1.2,1.4,1.4,0.4,0.2,0.6,0.2,0.8,9.0,1.4,1.2,1.0,2.0,1.4,0.4,0.4,0.4,0.2,0.8,5.0,1.3333333333333333,1.3333333333333333
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.0,2.2,0.6,0.2,0.0,0.585786437626905,100.0,0,L,0.0,1.0,0,7,-1,L,1.0,3.0,1,7,-1,20,0,-8,relegation,0,16,3,-6,bottom_half,1,0,1.5,1.5,0.5,0.7000000000000002,0.9,0.0,0,-4,-3,-2,0.05,0.25,6,1,1,2023-24,,,,,,,,,,,,1.0,2.2,0.6,0.2,0.2,0.6,0.2,0.8,5.0,1.0,1.0
2.8,0.6,3.0,1.0,0.0,0.4026997478492772,100.0,0,1.4,1.4,1.4,0.4,0.25,0.646110632135477,100.0,0,W,3.0,1.0,0,7,1,D,1.0,1.0,1,4,0,1,15,11,top_4,4,10,7,0,top_half,3,0,1.5,1.5,1.4,0.7999999999999999,1.6,0.0,3,9,8,11,1.0,0.55,6,2,0,2023-24,2.8,0.6,3.0,1.0,0.4,0.6,0.8,0.2,5.0,3.0,2.8,1.4,1.4,1.4,0.4,0.2,0.8,0.4,0.6,5.0,1.0,1.3333333333333333
1.6,1.2,1.2,0.2,-0.25,0.4672514169971265,100.0,0,0.4,1.8,0.2,0.0,0.0,0.5278640450004206,100.0,0,L,0.0,1.0,0,7,-1,L,0.0,1.0,1,6,-1,11,6,2,mid_table,2,18,1,-7,relegation,0,0,1.5,1.5,1.2000000000000002,0.6000000000000001,1.0,0.0,1,7,5,9,0.5,0.15,6,1,3,2023-24,1.6,1.2,1.2,0.2,0.2,0.6,0.6,0.4,5.0,1.0,1.6666666666666667,0.4,1.8,0.2,0.0,0.0,0.2,0.2,0.8,5.0,0.2,0.4
1.5,1.5,1.5,0.33,0.0,0.5,100.0,0,1.2,2.0,1.2,0.4,-0.75,0.4772255750516611,72.93818660613744,2,D,1.0,1.0,0,5,0,L,1.0,3.0,1,7,-1,19,1,-8,relegation,0,13,6,-4,mid_table,2,0,1.5,1.5,0.30000000000000004,0.5,0.30000000000000004,27.061813393862565,-2,-6,-5,-4,0.1,0.4,6,0,1,2023-24,,,,,,,,,,,,1.2,2.0,1.2,0.4,0.2,0.6,0.2,0.8,7.0,1.2,1.2
1.0,1.0,1.0,0.2,0.0,0.4494897427831781,100.0,0,2.2,2.0,1.8,0.6,0.75,0.37833392500911667,100.0,0,D,0.0,0.0,0,7,0,W,3.0,1.0,1,7,1,14,5,0,mid_table,2,7,9,1,top_half,3,0,1.5,1.5,-1.2000000000000002,1.0,-0.8,0.0,0,-7,-4,-1,0.35,0.7,6,0,1,2023-24,1.0,1.0,1.0,0.2,0.4,0.4,0.2,0.8,6.0,1.3333333333333333,1.3333333333333333,2.2,2.0,1.8,0.6,0.2,0.6,0.6,0.4,4.0,1.0,1.3333333333333333
1.8,0.8,2.6,0.8,0.0,0.5444665782197482,59.279903926766806,3,2.6,1.0,2.6,0.8,0.5,0.42705098312484224,100.0,0,W,1.0,0.0,0,6,1,W,2.0,1.0,1,7,1,4,13,5,top_4,4,2,13,8,top_4,4,0,1.5,1.5,-0.8,0.19999999999999996,0.0,-40.720096073233194,-1,-2,0,-3,0.85,0.95,6,2,2,2023-24,1.8,0.8,2.6,0.8,0.4,0.6,0.6,0.4,6.0,2.3333333333333335,2.3333333333333335,2.6,1.0,2.6,0.8,0.4,0.6,1.0,0.0,5.0,2.3333333333333335,3.0
3.0,1.4,2.4,0.8,0.0,0.4494897427831781,79.90063559576589,2,0.8,1.6,0.6,0.0,0.0,0.5444665782197482,86.58238773648536,2,W,3.0,1.0,0,7,1,D,0.0,0.0,1,7,0,5,12,8,top_half,3,17,3,-4,bottom_half,1,0,1.5,1.5,2.2,0.20000000000000018,1.7999999999999998,-6.6817521407194675,0,12,9,12,0.8,0.2,6,3,1,2023-24,3.0,1.4,2.4,0.8,0.0,1.0,0.8,0.2,7.0,2.0,2.6666666666666665,0.8,1.6,0.6,0.0,0.2,0.6,0.2,0.8,5.0,0.6,0.8
2.4,0.8,2.6,0.8,0.5,0.5278640450004206,100.0,0,2.0,1.4,2.0,0.6,-0.25,0.5,100.0,0,W,3.0,1.0,0,8,1,L,1.0,3.0,1,7,-1,5,13,8,top_half,3,7,10,3,top_half,3,0,1.5,1.5,0.3999999999999999,0.5999999999999999,0.6000000000000001,0.0,1,2,3,5,0.8,0.7,6,3,1,2023-24,2.4,0.8,2.6,0.8,0.2,0.8,0.8,0.2,5.0,2.6,2.4,2.0,1.4,2.0,0.6,0.0,1.0,0.6,0.4,5.0,2.3333333333333335,2.0
1.0,1.8,0.2,0.0,0.0,0.585786437626905,100.0,0,1.6,1.4,1.2,0.4,0.0,0.33905673891492605,100.0,0,L,1.0,2.0,0,8,-1,W,1.0,0.0,1,7,1,18,1,-4,relegation,0,12,6,1,mid_table,2,0,1.5,1.5,-0.6000000000000001,-0.40000000000000013,-1.0,0.0,1,-6,-5,-5,0.15,0.45,6,0,8,2023-24,1.0,1.8,0.2,0.0,0.0,0.8,0.2,0.8,5.0,0.3333333333333333,1.0,1.6,1.4,1.2,0.4,0.2,0.6,0.2,0.8,5.0,1.2,1.6
2.2,1.0,2.4,0.8,0.0,0.37833392500911667,100.0,0,2.8,1.4,2.4,0.8,0.0,0.47722557505166113,79.90063559576589,2,W,1.0,0.0,0,5,1,W,3.0,1.0,1,5,1,6,12,2,top_half,3,3,15,10,top_4,4,0,1.5,1.5,-0.5999999999999996,0.3999999999999999,0.0,20.09936440423411,0,-3,-3,-8,0.75,0.9,7,6,1,2023-24,2.2,1.0,2.4,0.8,0.4,0.4,0.6,0.4,4.0,2.4,2.2,2.8,1.4,2.4,0.8,0.0,1.0,0.8,0.2,7.0,2.4,2.8
0.8,2.0,0.4,0.0,0.0,0.5444665782197482,86.58238773648536,2,1.8,1.0,2.2,0.6,-0.5,0.5444665782197482,59.279903926766806,3,L,1.0,3.0,0,6,-1,D,2.0,2.0,1,6,0,17,3,-6,bottom_half,1,6,14,5,top_half,3,0,1.5,1.5,-1.0,-1.0,-1.8000000000000003,27.302483809718552,0,-11,-11,-11,0.2,0.75,7,0,4,2023-24,0.8,2.0,0.4,0.0,0.2,0.6,0.2,0.8,5.0,0.6666666666666666,0.3333333333333333,1.8,1.0,2.2,0.6,0.4,0.6,0.6,0.4,6.0,2.2,1.8
1.0,1.8,0.8,0.2,0.75,0.4142135623730951,100.0,0,0.6,2.2,0.2,0.0,0.25,0.6461106321354769,100.0,0,W,3.0,1.0,0,6,1,D,1.0,1.0,1,7,0,15,4,-5,bottom_half,1,18,1,-8,relegation,0,0,1.5,1.5,0.4,0.40000000000000013,0.6000000000000001,0.0,-1,3,3,3,0.3,0.15,7,1,2,2023-24,1.0,1.8,0.8,0.2,0.0,0.4,0.4,0.6,5.0,0.0,0.0,0.6,2.2,0.2,0.0,0.0,0.6,0.0,1.0,5.0,0.0,0.3333333333333333
1.2,2.0,1.2,0.4,0.75,0.47722557505166113,72.93818660613744,2,1.0,1.4,1.0,0.2,0.25,0.4494897427831781,100.0,0,W,1.0,0.0,0,6,1,D,0.0,0.0,1,7,0,9,9,-3,top_half,3,10,8,-1,top_half,3,0,1.5,1.5,0.19999999999999996,-0.6000000000000001,0.19999999999999996,-27.061813393862565,-1,1,1,-2,0.6,0.55,7,0,1,2023-24,1.2,2.0,1.2,0.4,0.2,0.6,0.2,0.8,7.0,2.0,1.6666666666666667,1.0,1.4,1.0,0.2,0.2,0.6,0.2,0.8,9.0,1.3333333333333333,1.0
