match_id,season,gameweek,match_date,home_team,away_team,home_score,away_score,home_goals,away_goals,status,result
20180000,2018-19,1,2018-08-10T00:00:00Z,Manchester United FC,Leicester City FC,2,1,2,1,FINISHED,H
20180001,2018-19,1,2018-08-11T00:00:00Z,AFC Bournemouth,Cardiff City FC,2,0,2,0,FINISHED,H
20180002,2018-19,1,2018-08-11T00:00:00Z,Fulham FC,Crystal Palace FC,0,2,0,2,FINISHED,A
20180003,2018-19,1,2018-08-11T00:00:00Z,Huddersfield Town AFC,Chelsea FC,0,3,0,3,FINISHED,A
20180004,2018-19,1,2018-08-11T00:00:00Z,Newcastle United FC,Tottenham Hotspur FC,1,2,1,2,FINISHED,A
20180005,2018-19,1,2018-08-11T00:00:00Z,Watford FC,Brighton & Hove Albion FC,2,0,2,0,FINISHED,H
20180006,2018-19,1,2018-08-11T00:00:00Z,Wolverhampton Wanderers FC,Everton FC,2,2,2,2,FINISHED,D
20180007,2018-19,1,2018-08-12T00:00:00Z,Arsenal FC,Manchester City FC,0,2,0,2,FINISHED,A
20180008,2018-19,1,2018-08-12T00:00:00Z,Liverpool FC,West Ham United FC,4,0,4,0,FINISHED,H
20180009,2018-19,1,2018-08-12T00:00:00Z,Southampton FC,Burnley FC,0,0,0,0,FINISHED,D
20180010,2018-19,2,2018-08-18T00:00:00Z,West Ham United FC,AFC Bournemouth,1,2,1,2,FINISHED,A
20180011,2018-19,2,2018-08-18T00:00:00Z,Tottenham Hotspur FC,Fulham FC,3,1,3,1,FINISHED,H
20180012,2018-19,2,2018-08-18T00:00:00Z,Leicester City FC,Wolverhampton Wanderers FC,2,0,2,0,FINISHED,H
20180013,2018-19,2,2018-08-18T00:00:00Z,Chelsea FC,Arsenal FC,3,2,3,2,FINISHED,H
20180014,2018-19,2,2018-08-18T00:00:00Z,Cardiff City FC,Newcastle United FC,0,0,0,0,FINISHED,D
20180015,2018-19,2,2018-08-18T00:00:00Z,Everton FC,Southampton FC,2,1,2,1,FINISHED,H
20180016,2018-19,2,2018-08-19T00:00:00Z,Brighton & Hove Albion FC,Manchester United FC,3,2,3,2,FINISHED,H
20180017,2018-19,2,2018-08-19T00:00:00Z,Burnley FC,Watford FC,1,3,1,3,FINISHED,A
20180018,2018-19,2,2018-08-19T00:00:00Z,Manchester City FC,Huddersfield Town AFC,6,1,6,1,FINISHED,H
20180019,2018-19,3,2018-08-20T00:00:00Z,Crystal Palace FC,Liverpool FC,0,2,0,2,FINISHED,A
20180020,2018-19,3,2018-08-25T00:00:00Z,Southampton FC,Leicester City FC,1,2,1,2,FINISHED,A
20180021,2018-19,3,2018-08-25T00:00:00Z,Wolverhampton Wanderers FC,Manchester City FC,1,1,1,1,FINISHED,D
20180022,2018-19,3,2018-08-25T00:00:00Z,Liverpool FC,Brighton & Hove Albion FC,1,0,1,0,FINISHED,H
20180023,2018-19,3,2018-08-25T00:00:00Z,AFC Bournemouth,Everton FC,2,2,2,2,FINISHED,D
20180024,2018-19,3,2018-08-25T00:00:00Z,Arsenal FC,West Ham United FC,3,1,3,1,FINISHED,H
20180025,2018-19,3,2018-08-25T00:00:00Z,Huddersfield Town AFC,Cardiff City FC,0,0,0,0,FINISHED,D
20180026,2018-19,3,2018-08-26T00:00:00Z,Fulham FC,Burnley FC,4,2,4,2,FINISHED,H
20180027,2018-19,3,2018-08-26T00:00:00Z,Newcastle United FC,Chelsea FC,1,2,1,2,FINISHED,A
20180028,2018-19,3,2018-08-26T00:00:00Z,Watford FC,Crystal Palace FC,2,1,2,1,FINISHED,H
20180029,2018-19,4,2018-08-27T00:00:00Z,Manchester United FC,Tottenham Hotspur FC,0,3,0,3,FINISHED,A
20180030,2018-19,4,2018-09-01T00:00:00Z,Everton FC,Huddersfield Town AFC,1,1,1,1,FINISHED,D
20180031,2018-19,4,2018-09-01T00:00:00Z,Brighton & Hove Albion FC,Fulham FC,2,2,2,2,FINISHED,D
20180032,2018-19,4,2018-09-01T00:00:00Z,Chelsea FC,AFC Bournemouth,2,0,2,0,FINISHED,H
20180033,2018-19,4,2018-09-01T00:00:00Z,Crystal Palace FC,Southampton FC,0,2,0,2,FINISHED,A
20180034,2018-19,4,2018-09-01T00:00:00Z,Leicester City FC,Liverpool FC,1,2,1,2,FINISHED,A
20180035,2018-19,4,2018-09-01T00:00:00Z,Manchester City FC,Newcastle United FC,2,1,2,1,FINISHED,H
20180036,2018-19,4,2018-09-01T00:00:00Z,West Ham United FC,Wolverhampton Wanderers FC,0,1,0,1,FINISHED,A
20180037,2018-19,4,2018-09-02T00:00:00Z,Burnley FC,Manchester United FC,0,2,0,2,FINISHED,A
20180038,2018-19,4,2018-09-02T00:00:00Z,Cardiff City FC,Arsenal FC,2,3,2,3,FINISHED,A
20180039,2018-19,4,2018-09-02T00:00:00Z,Watford FC,Tottenham Hotspur FC,2,1,2,1,FINISHED,H
20180040,2018-19,5,2018-09-15T00:00:00Z,Newcastle United FC,Arsenal FC,1,2,1,2,FINISHED,A
20180041,2018-19,5,2018-09-15T00:00:00Z,Watford FC,Manchester United FC,1,2,1,2,FINISHED,A
20180042,2018-19,5,2018-09-15T00:00:00Z,Manchester City FC,Fulham FC,3,0,3,0,FINISHED,H
20180043,2018-19,5,2018-09-15T00:00:00Z,Tottenham Hotspur FC,Liverpool FC,1,2,1,2,FINISHED,A
20180044,2018-19,5,2018-09-15T00:00:00Z,Chelsea FC,Cardiff City FC,4,1,4,1,FINISHED,H
20180045,2018-19,5,2018-09-15T00:00:00Z,Huddersfield Town AFC,Crystal Palace FC,0,1,0,1,FINISHED,A
20180046,2018-19,5,2018-09-15T00:00:00Z,AFC Bournemouth,Leicester City FC,4,2,4,2,FINISHED,H
20180047,2018-19,5,2018-09-16T00:00:00Z,Everton FC,West Ham United FC,1,3,1,3,FINISHED,A
20180048,2018-19,5,2018-09-16T00:00:00Z,Wolverhampton Wanderers FC,Burnley FC,1,0,1,0,FINISHED,H
20180049,2018-19,6,2018-09-17T00:00:00Z,Southampton FC,Brighton & Hove Albion FC,2,2,2,2,FINISHED,D
20180050,2018-19,6,2018-09-22T00:00:00Z,Manchester United FC,Wolverhampton Wanderers FC,1,1,1,1,FINISHED,D
20180051,2018-19,6,2018-09-22T00:00:00Z,Liverpool FC,Southampton FC,3,0,3,0,FINISHED,H
20180052,2018-19,6,2018-09-22T00:00:00Z,Leicester City FC,Huddersfield Town AFC,3,1,3,1,FINISHED,H
20180053,2018-19,6,2018-09-22T00:00:00Z,Fulham FC,Watford FC,1,1,1,1,FINISHED,D
20180054,2018-19,6,2018-09-22T00:00:00Z,Crystal Palace FC,Newcastle United FC,0,0,0,0,FINISHED,D
20180055,2018-19,6,2018-09-22T00:00:00Z,Cardiff City FC,Manchester City FC,0,5,0,5,FINISHED,A
20180056,2018-19,6,2018-09-22T00:00:00Z,Burnley FC,AFC Bournemouth,4,0,4,0,FINISHED,H
20180057,2018-19,6,2018-09-22T00:00:00Z,Brighton & Hove Albion FC,Tottenham Hotspur FC,1,2,1,2,FINISHED,A
20180058,2018-19,7,2018-09-23T00:00:00Z,Arsenal FC,Everton FC,2,0,2,0,FINISHED,H
20180059,2018-19,7,2018-09-23T00:00:00Z,West Ham United FC,Chelsea FC,0,0,0,0,FINISHED,D
20180060,2018-19,7,2018-09-29T00:00:00Z,West Ham United FC,Manchester United FC,3,1,3,1,FINISHED,H
20180061,2018-19,7,2018-09-29T00:00:00Z,Newcastle United FC,Leicester City FC,0,2,0,2,FINISHED,A
20180062,2018-19,7,2018-09-29T00:00:00Z,Manchester City FC,Brighton & Hove Albion FC,2,0,2,0,FINISHED,H
20180063,2018-19,7,2018-09-29T00:00:00Z,Wolverhampton Wanderers FC,Southampton FC,2,0,2,0,FINISHED,H
20180064,2018-19,7,2018-09-29T00:00:00Z,Everton FC,Fulham FC,3,0,3,0,FINISHED,H
20180065,2018-19,7,2018-09-29T00:00:00Z,Chelsea FC,Liverpool FC,1,1,1,1,FINISHED,D
20180066,2018-19,7,2018-09-29T00:00:00Z,Arsenal FC,Watford FC,2,0,2,0,FINISHED,H
20180067,2018-19,7,2018-09-29T00:00:00Z,Huddersfield Town AFC,Tottenham Hotspur FC,0,2,0,2,FINISHED,A
20180068,2018-19,8,2018-09-30T00:00:00Z,Cardiff City FC,Burnley FC,1,2,1,2,FINISHED,A
20180069,2018-19,8,2018-10-01T00:00:00Z,AFC Bournemouth,Crystal Palace FC,2,1,2,1,FINISHED,H
20180070,2018-19,8,2018-10-05T00:00:00Z,Brighton & Hove Albion FC,West Ham United FC,1,0,1,0,FINISHED,H
20180071,2018-19,8,2018-10-06T00:00:00Z,Burnley FC,Huddersfield Town AFC,1,1,1,1,FINISHED,D
20180072,2018-19,8,2018-10-06T00:00:00Z,Crystal Palace FC,Wolverhampton Wanderers FC,0,1,0,1,FINISHED,A
20180073,2018-19,8,2018-10-06T00:00:00Z,Leicester City FC,Everton FC,1,2,1,2,FINISHED,A
20180074,2018-19,8,2018-10-06T00:00:00Z,Manchester United FC,Newcastle United FC,3,2,3,2,FINISHED,H
20180075,2018-19,8,2018-10-06T00:00:00Z,Tottenham Hotspur FC,Cardiff City FC,1,0,1,0,FINISHED,H
20180076,2018-19,8,2018-10-06T00:00:00Z,Watford FC,AFC Bournemouth,0,4,0,4,FINISHED,A
20180077,2018-19,9,2018-10-07T00:00:00Z,Southampton FC,Chelsea FC,0,3,0,3,FINISHED,A
20180078,2018-19,9,2018-10-07T00:00:00Z,Fulham FC,Arsenal FC,1,5,1,5,FINISHED,A
20180079,2018-19,9,2018-10-07T00:00:00Z,Liverpool FC,Manchester City FC,0,0,0,0,FINISHED,D
20180080,2018-19,9,2018-10-20T00:00:00Z,AFC Bournemouth,Southampton FC,0,0,0,0,FINISHED,D
20180081,2018-19,9,2018-10-20T00:00:00Z,Cardiff City FC,Fulham FC,4,2,4,2,FINISHED,H
20180082,2018-19,9,2018-10-20T00:00:00Z,Chelsea FC,Manchester United FC,2,2,2,2,FINISHED,D
20180083,2018-19,9,2018-10-20T00:00:00Z,Huddersfield Town AFC,Liverpool FC,0,1,0,1,FINISHED,A
20180084,2018-19,9,2018-10-20T00:00:00Z,Manchester City FC,Burnley FC,5,0,5,0,FINISHED,H
20180085,2018-19,9,2018-10-20T00:00:00Z,Newcastle United FC,Brighton & Hove Albion FC,0,1,0,1,FINISHED,A
20180086,2018-19,9,2018-10-20T00:00:00Z,West Ham United FC,Tottenham Hotspur FC,0,1,0,1,FINISHED,A
20180087,2018-19,9,2018-10-20T00:00:00Z,Wolverhampton Wanderers FC,Watford FC,0,2,0,2,FINISHED,A
20180088,2018-19,10,2018-10-21T00:00:00Z,Everton FC,Crystal Palace FC,2,0,2,0,FINISHED,H
20180089,2018-19,10,2018-10-22T00:00:00Z,Arsenal FC,Leicester City FC,3,1,3,1,FINISHED,H
20180090,2018-19,10,2018-10-27T00:00:00Z,Watford FC,Huddersfield Town AFC,3,0,3,0,FINISHED,H
