match_id,season,gameweek,match_date,home_team,away_team,home_score,away_score,home_goals,away_goals,status,result
20160000,2016-17,1,2016-08-13T00:00:00Z,Burnley FC,Swansea City AFC,0,1,0,1,FINISHED,A
20160001,2016-17,1,2016-08-13T00:00:00Z,Crystal Palace FC,West Bromwich Albion FC,0,1,0,1,FINISHED,A
20160002,2016-17,1,2016-08-13T00:00:00Z,Everton FC,Tottenham Hotspur FC,1,1,1,1,FINISHED,D
20160003,2016-17,1,2016-08-13T00:00:00Z,Hull City AFC,Leicester City FC,2,1,2,1,FINISHED,H
20160004,2016-17,1,2016-08-13T00:00:00Z,Manchester City FC,Sunderland AFC,2,1,2,1,FINISHED,H
20160005,2016-17,1,2016-08-13T00:00:00Z,Middlesbrough FC,Stoke City FC,1,1,1,1,FINISHED,D
20160006,2016-17,1,2016-08-13T00:00:00Z,Southampton FC,Watford FC,1,1,1,1,FINISHED,D
20160007,2016-17,1,2016-08-14T00:00:00Z,Arsenal FC,Liverpool FC,3,4,3,4,FINISHED,A
20160008,2016-17,1,2016-08-14T00:00:00Z,AFC Bournemouth,Manchester United FC,1,3,1,3,FINISHED,A
20160009,2016-17,2,2016-08-15T00:00:00Z,Chelsea FC,West Ham United FC,2,1,2,1,FINISHED,H
20160010,2016-17,2,2016-08-19T00:00:00Z,Manchester United FC,Southampton FC,2,0,2,0,FINISHED,H
20160011,2016-17,2,2016-08-20T00:00:00Z,West Bromwich Albion FC,Everton FC,1,2,1,2,FINISHED,A
20160012,2016-17,2,2016-08-20T00:00:00Z,Watford FC,Chelsea FC,1,2,1,2,FINISHED,A
20160013,2016-17,2,2016-08-20T00:00:00Z,Tottenham Hotspur FC,Crystal Palace FC,1,0,1,0,FINISHED,H
20160014,2016-17,2,2016-08-20T00:00:00Z,Burnley FC,Liverpool FC,2,0,2,0,FINISHED,H
20160015,2016-17,2,2016-08-20T00:00:00Z,Stoke City FC,Manchester City FC,1,4,1,4,FINISHED,A
20160016,2016-17,2,2016-08-20T00:00:00Z,Leicester City FC,Arsenal FC,0,0,0,0,FINISHED,D
20160017,2016-17,2,2016-08-20T00:00:00Z,Swansea City AFC,Hull City AFC,0,2,0,2,FINISHED,A
20160018,2016-17,3,2016-08-21T00:00:00Z,Sunderland AFC,Middlesbrough FC,1,2,1,2,FINISHED,A
20160019,2016-17,3,2016-08-21T00:00:00Z,West Ham United FC,AFC Bournemouth,1,0,1,0,FINISHED,H
20160020,2016-17,3,2016-08-27T00:00:00Z,Southampton FC,Sunderland AFC,1,1,1,1,FINISHED,D
20160021,2016-17,3,2016-08-27T00:00:00Z,Watford FC,Arsenal FC,1,3,1,3,FINISHED,A
20160022,2016-17,3,2016-08-27T00:00:00Z,Tottenham Hotspur FC,Liverpool FC,1,1,1,1,FINISHED,D
20160023,2016-17,3,2016-08-27T00:00:00Z,Leicester City FC,Swansea City AFC,2,1,2,1,FINISHED,H
20160024,2016-17,3,2016-08-27T00:00:00Z,Hull City AFC,Manchester United FC,0,1,0,1,FINISHED,A
20160025,2016-17,3,2016-08-27T00:00:00Z,Everton FC,Stoke City FC,1,0,1,0,FINISHED,H
20160026,2016-17,3,2016-08-27T00:00:00Z,Crystal Palace FC,AFC Bournemouth,1,1,1,1,FINISHED,D
20160027,2016-17,3,2016-08-27T00:00:00Z,Chelsea FC,Burnley FC,3,0,3,0,FINISHED,H
20160028,2016-17,4,2016-08-28T00:00:00Z,Manchester City FC,West Ham United FC,3,1,3,1,FINISHED,H
20160029,2016-17,4,2016-08-28T00:00:00Z,West Bromwich Albion FC,Middlesbrough FC,0,0,0,0,FINISHED,D
20160030,2016-17,4,2016-09-10T00:00:00Z,West Ham United FC,Watford FC,2,4,2,4,FINISHED,A
20160031,2016-17,4,2016-09-10T00:00:00Z,Middlesbrough FC,Crystal Palace FC,1,2,1,2,FINISHED,A
20160032,2016-17,4,2016-09-10T00:00:00Z,Manchester United FC,Manchester City FC,1,2,1,2,FINISHED,A
