match_id,season,gameweek,match_date,home_team,away_team,home_score,away_score,home_goals,away_goals,status,result
20120000,2012-13,1,2012-08-18T00:00:00Z,Arsenal FC,Sunderland AFC,0,0,0,0,FINISHED,D
20120001,2012-13,1,2012-08-18T00:00:00Z,Fulham FC,Norwich City FC,5,0,5,0,FINISHED,H
20120002,2012-13,1,2012-08-18T00:00:00Z,Newcastle United FC,Tottenham Hotspur FC,2,1,2,1,FINISHED,H
20120003,2012-13,1,2012-08-18T00:00:00Z,Queens Park Rangers FC,Swansea City AFC,0,5,0,5,FINISHED,A
20120004,2012-13,1,2012-08-18T00:00:00Z,Reading FC,Stoke City FC,1,1,1,1,FINISHED,D
20120005,2012-13,1,2012-08-18T00:00:00Z,West Bromwich Albion FC,Liverpool FC,3,0,3,0,FINISHED,H
20120006,2012-13,1,2012-08-18T00:00:00Z,West Ham United FC,Aston Villa FC,1,0,1,0,FINISHED,H
20120007,2012-13,1,2012-08-19T00:00:00Z,Manchester City FC,Southampton FC,3,2,3,2,FINISHED,H
20120008,2012-13,1,2012-08-19T00:00:00Z,Wigan Athletic FC,Chelsea FC,0,2,0,2,FINISHED,A
20120009,2012-13,2,2012-08-20T00:00:00Z,Everton FC,Manchester United FC,1,0,1,0,FINISHED,H
20120010,2012-13,2,2012-08-22T00:00:00Z,Chelsea FC,Reading FC,4,2,4,2,FINISHED,H
20120011,2012-13,2,2012-08-25T00:00:00Z,Aston Villa FC,Everton FC,1,3,1,3,FINISHED,A
20120012,2012-13,2,2012-08-25T00:00:00Z,Chelsea FC,Newcastle United FC,2,0,2,0,FINISHED,H
20120013,2012-13,2,2012-08-25T00:00:00Z,Manchester United FC,Fulham FC,3,2,3,2,FINISHED,H
20120014,2012-13,2,2012-08-25T00:00:00Z,Norwich City FC,Queens Park Rangers FC,1,1,1,1,FINISHED,D
20120015,2012-13,2,2012-08-25T00:00:00Z,Southampton FC,Wigan Athletic FC,0,2,0,2,FINISHED,A
20120016,2012-13,2,2012-08-25T00:00:00Z,Swansea City AFC,West Ham United FC,3,0,3,0,FINISHED,H
20120017,2012-13,2,2012-08-25T00:00:00Z,Tottenham Hotspur FC,West Bromwich Albion FC,1,1,1,1,FINISHED,D
20120018,2012-13,3,2012-08-26T00:00:00Z,Liverpool FC,Manchester City FC,2,2,2,2,FINISHED,D
20120019,2012-13,3,2012-08-26T00:00:00Z,Stoke City FC,Arsenal FC,0,0,0,0,FINISHED,D
20120020,2012-13,3,2012-09-01T00:00:00Z,Wigan Athletic FC,Stoke City FC,2,2,2,2,FINISHED,D
20120021,2012-13,3,2012-09-01T00:00:00Z,West Ham United FC,Fulham FC,3,0,3,0,FINISHED,H
20120022,2012-13,3,2012-09-01T00:00:00Z,West Bromwich Albion FC,Everton FC,2,0,2,0,FINISHED,H
20120023,2012-13,3,2012-09-01T00:00:00Z,Swansea City AFC,Sunderland AFC,2,2,2,2,FINISHED,D
20120024,2012-13,3,2012-09-01T00:00:00Z,Manchester City FC,Queens Park Rangers FC,3,1,3,1,FINISHED,H
20120025,2012-13,3,2012-09-01T00:00:00Z,Tottenham Hotspur FC,Norwich City FC,1,1,1,1,FINISHED,D
20120026,2012-13,3,2012-09-02T00:00:00Z,Liverpool FC,Arsenal FC,0,2,0,2,FINISHED,A
20120027,2012-13,3,2012-09-02T00:00:00Z,Newcastle United FC,Aston Villa FC,1,1,1,1,FINISHED,D
20120028,2012-13,3,2012-09-02T00:00:00Z,Southampton FC,Manchester United FC,2,3,2,3,FINISHED,A
20120029,2012-13,4,2012-09-15T00:00:00Z,Queens Park Rangers FC,Chelsea FC,0,0,0,0,FINISHED,D
20120030,2012-13,4,2012-09-15T00:00:00Z,Sunderland AFC,Liverpool FC,1,1,1,1,FINISHED,D
20120031,2012-13,4,2012-09-15T00:00:00Z,Stoke City FC,Manchester City FC,1,1,1,1,FINISHED,D
20120032,2012-13,4,2012-09-15T00:00:00Z,Norwich City FC,West Ham United FC,0,0,0,0,FINISHED,D
20120033,2012-13,4,2012-09-15T00:00:00Z,Fulham FC,West Bromwich Albion FC,3,0,3,0,FINISHED,H
20120034,2012-13,4,2012-09-15T00:00:00Z,Aston Villa FC,Swansea City AFC,2,0,2,0,FINISHED,H
20120035,2012-13,4,2012-09-15T00:00:00Z,Arsenal FC,Southampton FC,6,1,6,1,FINISHED,H
20120036,2012-13,4,2012-09-15T00:00:00Z,Manchester United FC,Wigan Athletic FC,4,0,4,0,FINISHED,H
20120037,2012-13,4,2012-09-16T00:00:00Z,Reading FC,Tottenham Hotspur FC,1,3,1,3,FINISHED,A
20120038,2012-13,5,2012-09-17T00:00:00Z,Everton FC,Newcastle United FC,2,2,2,2,FINISHED,D
20120039,2012-13,5,2012-09-22T00:00:00Z,West Ham United FC,Sunderland AFC,1,1,1,1,FINISHED,D
20120040,2012-13,5,2012-09-22T00:00:00Z,Chelsea FC,Stoke City FC,1,0,1,0,FINISHED,H
20120041,2012-13,5,2012-09-22T00:00:00Z,Southampton FC,Aston Villa FC,4,1,4,1,FINISHED,H
20120042,2012-13,5,2012-09-22T00:00:00Z,Swansea City AFC,Everton FC,0,3,0,3,FINISHED,A
20120043,2012-13,5,2012-09-22T00:00:00Z,West Bromwich Albion FC,Reading FC,1,0,1,0,FINISHED,H
20120044,2012-13,5,2012-09-22T00:00:00Z,Wigan Athletic FC,Fulham FC,1,2,1,2,FINISHED,A
20120045,2012-13,5,2012-09-23T00:00:00Z,Tottenham Hotspur FC,Queens Park Rangers FC,2,1,2,1,FINISHED,H
20120046,2012-13,5,2012-09-23T00:00:00Z,Newcastle United FC,Norwich City FC,1,0,1,0,FINISHED,H
20120047,2012-13,5,2012-09-23T00:00:00Z,Liverpool FC,Manchester United FC,1,2,1,2,FINISHED,A
20120048,2012-13,5,2012-09-23T00:00:00Z,Manchester City FC,Arsenal FC,1,1,1,1,FINISHED,D
20120049,2012-13,6,2012-09-29T00:00:00Z,Sunderland AFC,Wigan Athletic FC,1,0,1,0,FINISHED,H
20120050,2012-13,6,2012-09-29T00:00:00Z,Arsenal FC,Chelsea FC,1,2,1,2,FINISHED,A
20120051,2012-13,6,2012-09-29T00:00:00Z,Everton FC,Southampton FC,3,1,3,1,FINISHED,H
20120052,2012-13,6,2012-09-29T00:00:00Z,Fulham FC,Manchester City FC,1,2,1,2,FINISHED,A
20120053,2012-13,6,2012-09-29T00:00:00Z,Manchester United FC,Tottenham Hotspur FC,2,3,2,3,FINISHED,A
20120054,2012-13,6,2012-09-29T00:00:00Z,Norwich City FC,Liverpool FC,2,5,2,5,FINISHED,A
20120055,2012-13,6,2012-09-29T00:00:00Z,Reading FC,Newcastle United FC,2,2,2,2,FINISHED,D
20120056,2012-13,6,2012-09-29T00:00:00Z,Stoke City FC,Swansea City AFC,2,0,2,0,FINISHED,H
20120057,2012-13,6,2012-09-30T00:00:00Z,Aston Villa FC,West Bromwich Albion FC,1,1,1,1,FINISHED,D
20120058,2012-13,7,2012-10-01T00:00:00Z,Queens Park Rangers FC,West Ham United FC,1,2,1,2,FINISHED,A
20120059,2012-13,7,2012-10-06T00:00:00Z,West Ham United FC,Arsenal FC,1,3,1,3,FINISHED,A
20120060,2012-13,7,2012-10-06T00:00:00Z,West Bromwich Albion FC,Queens Park Rangers FC,3,2,3,2,FINISHED,H
20120061,2012-13,7,2012-10-06T00:00:00Z,Manchester City FC,Sunderland AFC,3,0,3,0,FINISHED,H
20120062,2012-13,7,2012-10-06T00:00:00Z,Chelsea FC,Norwich City FC,4,1,4,1,FINISHED,H
20120063,2012-13,7,2012-10-06T00:00:00Z,Wigan Athletic FC,Everton FC,2,2,2,2,FINISHED,D
20120064,2012-13,7,2012-10-06T00:00:00Z,Swansea City AFC,Reading FC,2,2,2,2,FINISHED,D
20120065,2012-13,7,2012-10-07T00:00:00Z,Southampton FC,Fulham FC,2,2,2,2,FINISHED,D
20120066,2012-13,7,2012-10-07T00:00:00Z,Tottenham Hotspur FC,Aston Villa FC,2,0,2,0,FINISHED,H
20120067,2012-13,7,2012-10-07T00:00:00Z,Liverpool FC,Stoke City FC,0,0,0,0,FINISHED,D
20120068,2012-13,7,2012-10-07T00:00:00Z,Newcastle United FC,Manchester United FC,0,3,0,3,FINISHED,A
20120069,2012-13,8,2012-10-20T00:00:00Z,West Ham United FC,Southampton FC,4,1,4,1,FINISHED,H
20120070,2012-13,8,2012-10-20T00:00:00Z,Tottenham Hotspur FC,Chelsea FC,2,4,2,4,FINISHED,A
20120071,2012-13,8,2012-10-20T00:00:00Z,West Bromwich Albion FC,Manchester City FC,1,2,1,2,FINISHED,A
20120072,2012-13,8,2012-10-20T00:00:00Z,Swansea City AFC,Wigan Athletic FC,2,1,2,1,FINISHED,H
20120073,2012-13,8,2012-10-20T00:00:00Z,Fulham FC,Aston Villa FC,1,0,1,0,FINISHED,H
20120074,2012-13,8,2012-10-20T00:00:00Z,Manchester United FC,Stoke City FC,4,2,4,2,FINISHED,H
20120075,2012-13,8,2012-10-20T00:00:00Z,Liverpool FC,Reading FC,1,0,1,0,FINISHED,H
20120076,2012-13,8,2012-10-20T00:00:00Z,Norwich City FC,Arsenal FC,1,0,1,0,FINISHED,H
20120077,2012-13,8,2012-10-21T00:00:00Z,Queens Park Rangers FC,Everton FC,1,1,1,1,FINISHED,D
20120078,2012-13,8,2012-10-21T00:00:00Z,Sunderland AFC,Newcastle United FC,1,1,1,1,FINISHED,D
20120079,2012-13,9,2012-10-27T00:00:00Z,Arsenal FC,Queens Park Rangers FC,1,0,1,0,FINISHED,H
20120080,2012-13,9,2012-10-27T00:00:00Z,Aston Villa FC,Norwich City FC,1,1,1,1,FINISHED,D
20120081,2012-13,9,2012-10-27T00:00:00Z,Manchester City FC,Swansea City AFC,1,0,1,0,FINISHED,H
20120082,2012-13,9,2012-10-27T00:00:00Z,Reading FC,Fulham FC,3,3,3,3,FINISHED,D
20120083,2012-13,9,2012-10-27T00:00:00Z,Stoke City FC,Sunderland AFC,0,0,0,0,FINISHED,D
20120084,2012-13,9,2012-10-27T00:00:00Z,Wigan Athletic FC,West Ham United FC,2,1,2,1,FINISHED,H
20120085,2012-13,9,2012-10-28T00:00:00Z,Newcastle United FC,West Bromwich Albion FC,2,1,2,1,FINISHED,H
20120086,2012-13,9,2012-10-28T00:00:00Z,Chelsea FC,Manchester United FC,2,3,2,3,FINISHED,A
20120087,2012-13,9,2012-10-28T00:00:00Z,Everton FC,Liverpool FC,2,2,2,2,FINISHED,D
20120088,2012-13,9,2012-10-28T00:00:00Z,Southampton FC,Tottenham Hotspur FC,1,2,1,2,FINISHED,A
20120089,2012-13,10,2012-11-03T00:00:00Z,Swansea City AFC,Chelsea FC,1,1,1,1,FINISHED,D
20120090,2012-13,10,2012-11-03T00:00:00Z,Tottenham Hotspur FC,Wigan Athletic FC,0,1,0,1,FINISHED,A
20120091,2012-13,10,2012-11-03T00:00:00Z,Sunderland AFC,Aston Villa FC,0,1,0,1,FINISHED,A
20120092,2012-13,10,2012-11-03T00:00:00Z,West Ham United FC,Manchester City FC,0,0,0,0,FINISHED,D
20120093,2012-13,10,2012-11-03T00:00:00Z,Manchester United FC,Arsenal FC,2,1,2,1,FINISHED,H
20120094,2012-13,10,2012-11-03T00:00:00Z,Norwich City FC,Stoke City FC,1,0,1,0,FINISHED,H
20120095,2012-13,10,2012-11-03T00:00:00Z,Fulham FC,Everton FC,2,2,2,2,FINISHED,D
20120096,2012-13,10,2012-11-04T00:00:00Z,Liverpool FC,Newcastle United FC,1,1,1,1,FINISHED,D
20120097,2012-13,10,2012-11-04T00:00:00Z,Queens Park Rangers FC,Reading FC,1,1,1,1,FINISHED,D
20120098,2012-13,11,2012-11-05T00:00:00Z,West Bromwich Albion FC,Southampton FC,2,0,2,0,FINISHED,H
20120099,2012-13,11,2012-11-10T00:00:00Z,Arsenal FC,Fulham FC,3,3,3,3,FINISHED,D
20120100,2012-13,11,2012-11-10T00:00:00Z,Aston Villa FC,Manchester United FC,2,3,2,3,FINISHED,A
20120101,2012-13,11,2012-11-10T00:00:00Z,Everton FC,Sunderland AFC,2,1,2,1,FINISHED,H
20120102,2012-13,11,2012-11-10T00:00:00Z,Reading FC,Norwich City FC,0,0,0,0,FINISHED,D
20120103,2012-13,11,2012-11-10T00:00:00Z,Southampton FC,Swansea City AFC,1,1,1,1,FINISHED,D
20120104,2012-13,11,2012-11-10T00:00:00Z,Stoke City FC,Queens Park Rangers FC,1,0,1,0,FINISHED,H
20120105,2012-13,11,2012-11-10T00:00:00Z,Wigan Athletic FC,West Bromwich Albion FC,1,2,1,2,FINISHED,A
20120106,2012-13,11,2012-11-11T00:00:00Z,Newcastle United FC,West Ham United FC,0,1,0,1,FINISHED,A
20120107,2012-13,11,2012-11-11T00:00:00Z,Chelsea FC,Liverpool FC,1,1,1,1,FINISHED,D
20120108,2012-13,11,2012-11-11T00:00:00Z,Manchester City FC,Tottenham Hotspur FC,2,1,2,1,FINISHED,H
20120109,2012-13,12,2012-11-17T00:00:00Z,West Bromwich Albion FC,Chelsea FC,2,1,2,1,FINISHED,H
20120110,2012-13,12,2012-11-17T00:00:00Z,Arsenal FC,Tottenham Hotspur FC,5,2,5,2,FINISHED,H
20120111,2012-13,12,2012-11-17T00:00:00Z,Liverpool FC,Wigan Athletic FC,3,0,3,0,FINISHED,H
20120112,2012-13,12,2012-11-17T00:00:00Z,Manchester City FC,Aston Villa FC,5,0,5,0,FINISHED,H
20120113,2012-13,12,2012-11-17T00:00:00Z,Newcastle United FC,Swansea City AFC,1,2,1,2,FINISHED,A
20120114,2012-13,12,2012-11-17T00:00:00Z,Norwich City FC,Manchester United FC,1,0,1,0,FINISHED,H
