match_id,season,gameweek,match_date,home_team,away_team,home_score,away_score,home_goals,away_goals,status,result
20100000,2010-11,1,2010-08-14T00:00:00Z,Aston Villa FC,West Ham United FC,3,0,3,0,FINISHED,H
20100001,2010-11,1,2010-08-14T00:00:00Z,Blackburn Rovers FC,Everton FC,1,0,1,0,FINISHED,H
20100002,2010-11,1,2010-08-14T00:00:00Z,Bolton Wanderers FC,Fulham FC,0,0,0,0,FINISHED,D
20100003,2010-11,1,2010-08-14T00:00:00Z,Chelsea FC,West Bromwich Albion FC,6,0,6,0,FINISHED,H
20100004,2010-11,1,2010-08-14T00:00:00Z,Sunderland AFC,Birmingham,2,2,2,2,FINISHED,D
20100005,2010-11,1,2010-08-14T00:00:00Z,Tottenham Hotspur FC,Manchester City FC,0,0,0,0,FINISHED,D
20100006,2010-11,1,2010-08-14T00:00:00Z,Wigan Athletic FC,Blackpool FC,0,4,0,4,FINISHED,A
20100007,2010-11,1,2010-08-14T00:00:00Z,Wolverhampton Wanderers FC,Stoke City FC,2,1,2,1,FINISHED,H
20100008,2010-11,1,2010-08-15T00:00:00Z,Liverpool FC,Arsenal FC,1,1,1,1,FINISHED,D
20100009,2010-11,2,2010-08-16T00:00:00Z,Manchester United FC,Newcastle United FC,3,0,3,0,FINISHED,H
20100010,2010-11,2,2010-08-21T00:00:00Z,Wigan Athletic FC,Chelsea FC,0,6,0,6,FINISHED,A
20100011,2010-11,2,2010-08-21T00:00:00Z,West Ham United FC,Bolton Wanderers FC,1,3,1,3,FINISHED,A
20100012,2010-11,2,2010-08-21T00:00:00Z,West Bromwich Albion FC,Sunderland AFC,1,0,1,0,FINISHED,H
20100013,2010-11,2,2010-08-21T00:00:00Z,Birmingham,Blackburn Rovers FC,2,1,2,1,FINISHED,H
20100014,2010-11,2,2010-08-21T00:00:00Z,Everton FC,Wolverhampton Wanderers FC,1,1,1,1,FINISHED,D
20100015,2010-11,2,2010-08-21T00:00:00Z,Arsenal FC,Blackpool FC,6,0,6,0,FINISHED,H
20100016,2010-11,2,2010-08-21T00:00:00Z,Stoke City FC,Tottenham Hotspur FC,1,2,1,2,FINISHED,A
20100017,2010-11,2,2010-08-22T00:00:00Z,Fulham FC,Manchester United FC,2,2,2,2,FINISHED,D
20100018,2010-11,2,2010-08-22T00:00:00Z,Newcastle United FC,Aston Villa FC,6,0,6,0,FINISHED,H
20100019,2010-11,3,2010-08-23T00:00:00Z,Manchester City FC,Liverpool FC,3,0,3,0,FINISHED,H
20100020,2010-11,3,2010-08-28T00:00:00Z,Tottenham Hotspur FC,Wigan Athletic FC,0,1,0,1,FINISHED,A
20100021,2010-11,3,2010-08-28T00:00:00Z,Wolverhampton Wanderers FC,Newcastle United FC,1,1,1,1,FINISHED,D
20100022,2010-11,3,2010-08-28T00:00:00Z,Manchester United FC,West Ham United FC,3,0,3,0,FINISHED,H
20100023,2010-11,3,2010-08-28T00:00:00Z,Blackpool FC,Fulham FC,2,2,2,2,FINISHED,D
20100024,2010-11,3,2010-08-28T00:00:00Z,Blackburn Rovers FC,Arsenal FC,1,2,1,2,FINISHED,A
20100025,2010-11,3,2010-08-28T00:00:00Z,Chelsea FC,Stoke City FC,2,0,2,0,FINISHED,H
20100026,2010-11,3,2010-08-29T00:00:00Z,Aston Villa FC,Everton FC,1,0,1,0,FINISHED,H
20100027,2010-11,3,2010-08-29T00:00:00Z,Bolton Wanderers FC,Birmingham,2,2,2,2,FINISHED,D
