fpl_id,player_name,full_name,team_code,status,news,chance_of_playing_next_round
78,J.Araujo,Julián Araujo Zúñiga,91,a,,100.0
79,Mepham,Chris Mepham,91,u,has joined West Bromwich Albion permanently.,0.0
80,Soler,Julio Soler Barreto,91,a,,100.0
81,Kluivert,Justin Kluivert,91,a,,100.0
82,Semenyo,Antoine Semenyo,91,a,,100.0
85,Adams,Tyler Adams,91,i,Knee injury - Expected back 21 Feb,0.0
86,Brooks,David Brooks,91,a,,100.0
87,Christie,Ryan Christie,91,a,,100.0
88,Cook,Lewis Cook,91,a,,100.0
89,Philip,Philip Billing,91,u,Has joined Midtjylland permanently.,0.0
91,Sinisterra,Luis Sinisterra Lucumí,91,u,Has joined Cruzeiro on loan for the rest of the season.,0.0
92,Faivre,Romain Faivre,91,u,has joined Al Taawoun permanently.,0.0
93,H.Traorè,Hamed Traorè,91,u,has joined Marseille on loan for the rest of the season.,0.0
94,Sadi,Dominic Sadi,91,u,has joined Novi Pazar on loan for the rest of the season.,0.0
95,Silcott-Duberry,Zain Silcott-Duberry,91,u,has joined Olympiakos permanently.,0.0
96,Winterburn,Ben Winterburn,91,u,has joined Barnet on loan for the rest of the season.,0.0
97,Evanilson,Francisco Evanilson de Lima Barbosa,91,a,,100.0
98,Enes Ünal,Enes Ünal,91,a,,100.0
99,Adu-Adjei,Daniel Adu-Adjei,91,u,has joined HNK Rijeka permanently.,0.0
391,Gannon-Doak,Ben Gannon-Doak,91,i,Hamstring injury - Unknown return date,0.0
685,Diakité,Bafodé Diakité,91,a,,100.0
721,Milosavljević,Veljko Milosavljevic,91,i,Knee injury - Expected back 21 Feb,0.0
27,Nelson,Reiss Nelson,94,a,,100.0
83,O.Dango,Dango Ouattara,94,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0
101,Kelleher,Caoimhín Kelleher,94,a,,100.0
108,Ajer,Kristoffer Ajer,94,a,,100.0
111,Pinnock,Ethan Pinnock,94,a,,100.0
112,Roerslev,Mads Roerslev Rasmussen,94,u,Has joined Southampton permanently.,0.0
114,Arthur,Benjamin Arthur,94,a,,100.0
115,Fredrick,Benjamin Fredrick,94,u,has joined Dender on loan for the rest of the season.,0.0
116,Hickey,Aaron Hickey,94,a,,100.0
117,Ji-soo,Kim Ji-soo,94,u,has joined Kaiserslautern on loan for the rest of the season.,0.0
118,Meghoma,Jayden Meghoma,94,u,Has joined Rangers on loan for the rest of the season.,0.0
120,Schade,Kevin Schade,94,a,,100.0
122,Milambo,Antoni Milambo,94,i,Knee injury - Expected back 01 Jun,0.0
123,Carvalho,Fábio Freitas Gouveia Carvalho,94,i,Knee injury - Expected back 01 Jun,0.0
124,Henderson,Jordan Henderson,94,a,,100.0
125,Janelt,Vitaly Janelt,94,a,,100.0
127,Nunes,Gustavo Nunes Fernandes Gomes,94,a,,100.0
128,Onyeka,Frank Onyeka,94,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0
129,Yarmoliuk,Yehor Yarmoliuk,94,a,,100.0
132,Maghoma,Paris Maghoma,94,a,,100.0
134,Trevitt,Ryan Trevitt,94,u,Has joined Wigan on loan for the rest of the season,0.0
136,Thiago,Igor Thiago Nascimento Rodrigues,94,a,,100.0
748,Dasilva,Josh Dasilva,94,i,Knee injury - Expected back 01 Jan,0.0
141,Rushworth,Carl Rushworth,36,u,Has joined Coventry City on loan for the rest of the season.,0.0
142,Scherpen,Kjell Scherpen,36,u,Has joined Union SG permanently,0.0
145,De Cuyper,Maxim De Cuyper,36,a,,100.0
146,Dunk,Lewis Dunk,36,a,,100.0
147,Estupiñan,Pervis Estupiñán Tenorio,36,u,Has joined AC Milan permanently,0.0
150,Lamptey,Tariq Lamptey,36,u,has joined Fiorentina permanently.,0.0
151,Van Hecke,Jan Paul van Hecke,36,d,Illness - 75% chance of playing,75.0
152,Veltman,Joël Veltman,36,a,,100.0
153,Webster,Adam Webster,36,i,Knee injury - Unknown return date,0.0
154,Cashin,Eiran Cashin,36,u,Has joined Birmingham on loan for the rest of the season.,0.0
155,Slater,Jacob Slater,36,u,has joined Harrogate Town on loan until January.,0.0
157,Mitoma,Mitoma Kaoru,36,a,,100.0
158,Georginio,Georginio Rutter,36,a,,100.0
159,March,Solly March,36,i,Knee injury - Expected back 03 Jan,0.0
161,Enciso,Julio Enciso Espínola,36,u,has joined Strasbourg permanently.,0.0
162,Gruda,Brajan Gruda,36,a,,100.0
163,Hinshelwood,Jack Hinshelwood,36,a,,100.0
164,O'Riley,Matt O'Riley,36,u,has joined Marseille on loan for the rest of the season.,0.0
165,Sima,Abdallah Sima,36,u,has joined Lens permanently.,0.0
166,Ayari,Yasin Ayari,36,a,,100.0
167,Baleba,Carlos Baleba,36,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0
169,Gomez,Diego Gómez Amarilla,36,a,,100.0
170,Milner,James Milner,36,a,,100.0
171,Sarmiento,Jeremy Sarmiento Morante,36,u,has joined Cremonese on loan for the rest of the season.,0.0
172,Watson,Tom Watson,36,a,,100.0
173,Wieffer,Mats Wieffer,36,d,Knock - 75% chance of playing,75.0
174,Yalcouye,Malick Yalcouyé,36,u,Has joined Swansea City on loan for the rest of the season.,0.0
176,Mazilu,Adrian Mazilu,36,u,has joined Dinamo Bucharest permanently.,0.0
177,Moran,Andrew Moran,36,u,Has joined Los Angeles FC on loan for the rest of the season.,0.0
178,Welbeck,Danny Welbeck,36,d,Back injury - 75% chance of playing,75.0
179,Ferguson,Evan Ferguson,36,u,Has joined AS Roma on loan for the rest of the season,0.0
180,Tzimas,Stefanos Tzimas,36,i,Knee injury - Expected back 01 Jun,0.0
168,Buonanotte,Facundo Buonanotte,8,a,,100.0
222,Penders,Mike Penders,8,u,Has joined RC Strasbourg on loan for the rest of the season.,0.0
225,James,Reece James,8,a,,100.0
226,Chalobah,Trevoh Chalobah,8,a,,100.0
227,Colwill,Levi Samuels Colwill,8,i,Anterior cruciate ligament - Unknown return date,0.0
228,Gusto,Malo Gusto,8,a,,100.0
229,B.Badiashile,Benoît Badiashile Mukinayi,8,a,,100.0
230,Fofana,Wesley Fofana,8,a,,100.0
231,M.Sarr,Mamadou Sarr,8,u,Has joined RC Strasbourg on loan for the rest of the season.,0.0
232,Tosin,Tosin Adarabioyo,8,a,,100.0
233,Acheampong,Josh Acheampong,8,a,,100.0
234,Anselmino,Aarón Anselmino,8,u,has joined Borussia Dortmund on loan for the rest of the season.,0.0
235,Palmer,Cole Palmer,8,a,,100.0
236,Neto,Pedro Lomba Neto,8,a,,100.0
237,Enzo,Enzo Fernández,8,a,,100.0
238,Estêvão,Estêvão Almeida de Oliveira Gonçalves,8,a,,100.0
240,Nkunku,Christopher Nkunku,8,u,has joined AC Milan permanently.,0.0
241,Caicedo,Moisés Caicedo Corozo,8,a,,100.0
244,Lavia,Roméo Lavia,8,i,Thigh injury - Unknown return date,0.0
245,Mudryk,Mykhailo Mudryk,8,s,Suspended - unknown return date,0.0
246,Andrey Santos,Andrey Nascimento dos Santos,8,a,,100.0
247,D.Essugo,Dário Luís Essugo,8,i,Thigh injury - Unknown return date,0.0
248,Paez,Kendry Páez Andrade,8,u,Has joined RC Strasbourg on loan for the rest of the season.,0.0
250,Delap,Liam Delap,8,a,,100.0
251,N.Jackson,Nicolas Jackson,8,u,has joined Bayern Munich on loan for the rest of the season.,0.0
252,Marc Guiu,Marc Guiu Paz,8,a,,100.0
254,Benitez,Walter Benítez,31,a,,100.0
256,Muñoz,Daniel Muñoz Mejía,31,i,Knee injury - Expected back 17 Jan,0.0
259,Sosa,Borna Sosa,31,a,,100.0
260,Guéhi,Marc Guéhi,31,a,,100.0
261,Richards,Chris Richards,31,d,Foot injury - 50% chance of playing,50.0
262,Chadi Riad,Chadi Riad Dnanou,31,d,Lack of match fitness - 25% chance of playing,25.0
264,Holding,Rob Holding,31,u,Has joined Colorado Rapids permanently.,0.0
265,Kporha,Caleb Kporha,31,i,Back injury - Unknown return date,0.0
267,Sarr,Ismaïla Sarr,31,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0
268,Doucouré,Cheick Doucouré,31,i,Knee injury - Unknown return date,0.0
270,Hughes,Will Hughes,31,a,,100.0
271,Kamada,Daichi Kamada,31,i,Hamstring injury - Expected back 21 Feb,0.0
273,Wharton,Adam Wharton,31,a,,100.0
276,Devenny,Justin Devenny,31,a,,100.0
277,Ebiowei,Malcolm Ebiowei,31,u,Has joined Blackpool permanently.,0.0
278,J.Rak-Sakyi,Jesurun Rak-Sakyi,31,u,has joined Caykur Rizespor on loan for the rest of the season.,0.0
279,M.França,Matheus França de Oliveira,31,u,Has joined CR Vasco da Gama on loan for the rest of the season.,0.0
280,Ozoh,David Ozoh,31,u,Has joined Derby County on loan for the rest of the season.,0.0
282,Umeh,Franco Umeh-Chibueze,31,u,has joined Portsmouth permanently.,0.0
283,Mateta,Jean-Philippe Mateta,31,a,,100.0
