fpl_id,player_name,full_name,team_code,position,price,selected_by_percent,form,points_per_game,total_points,goals_scored,assists,clean_sheets,minutes,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,status,news,chance_of_playing_next_round,fpl_team_id,short_name,team_name
666,Gyökeres,Viktor Gyökeres,3,4,8.8,10.1,1.5,3.1,46,5,0,7,1015,3,0,4,191.0,120.2,363.0,67.1,a,,100.0,3.0,BUR,Burnley FC
700,Dowman,Max Dowman,3,3,4.3,0.4,0.0,2.5,5,0,1,0,27,0,0,0,1.0,0.8,26.0,2.8,i,Ankle injury - Unknown return date,0.0,3.0,BUR,Burnley FC
711,Harriman-Annous,Andre Harriman-Annous,3,3,4.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,3.0,BUR,Burnley FC
725,Hincapie,Piero Hincapié,3,2,5.5,2.6,4.3,3.8,30,0,0,2,563,1,0,2,145.2,21.7,10.0,17.6,d,Knock - 75% chance of playing,75.0,3.0,BUR,Burnley FC
759,Salmon,Marli Salmon,3,2,4.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,3.0,BUR,Burnley FC
32,Martinez,Emiliano Martínez Romero,7,1,5.0,3.2,2.3,4.4,57,0,0,4,1170,1,0,3,306.4,3.0,0.0,30.8,a,,100.0,7.0,CHE,Chelsea FC
33,M.Bizot,Marco Bizot,7,1,4.2,0.4,0.3,2.2,9,0,0,1,360,2,0,0,57.6,0.0,0.0,5.8,a,,,7.0,CHE,Chelsea FC
34,Gauci,Joe Gauci,7,1,4.0,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Has joined Port Vale on loan for the rest of the season.,0.0,7.0,CHE,Chelsea FC
35,Marschall,Filip Marschall,7,1,4.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Has joined Stevenage permanently.,0.0,7.0,CHE,Chelsea FC
36,Cash,Matty Cash,7,2,4.9,13.0,3.5,4.4,75,3,1,5,1502,4,0,6,362.2,233.3,111.0,70.7,a,,100.0,7.0,CHE,Chelsea FC
37,Digne,Lucas Digne,7,2,4.5,1.7,1.7,3.3,53,0,3,5,1002,2,0,1,190.0,223.4,78.0,48.9,a,,100.0,7.0,CHE,Chelsea FC
38,Konsa,Ezri Konsa Ngoyo,7,2,4.4,7.5,2.3,3.1,49,0,0,5,1415,0,1,2,274.6,54.8,60.0,39.2,a,,100.0,7.0,CHE,Chelsea FC
39,Maatsen,Ian Maatsen,7,2,4.2,0.5,1.0,1.1,13,0,0,0,521,1,0,0,119.8,133.9,73.0,32.8,a,,,7.0,CHE,Chelsea FC
40,Mings,Tyrone Mings,7,2,4.3,0.6,0.0,3.4,24,0,0,2,497,0,0,1,120.2,44.6,25.0,19.0,i,Hamstring injury - Expected back 30 Dec,0.0,7.0,CHE,Chelsea FC
41,Pau,Pau Torres,7,2,4.3,0.4,1.7,3.2,39,0,1,3,952,0,0,2,207.6,17.3,26.0,25.3,i,Calf injury - Expected back 30 Dec,0.0,7.0,CHE,Chelsea FC
42,A.García,Andrés García,7,2,3.9,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,100.0,7.0,CHE,Chelsea FC
