match_id,season,gameweek,match_date,home_team,away_team,home_score,away_score,home_goals,away_goals,status,result
20110000,2011-12,1,2011-08-13T00:00:00Z,Blackburn Rovers FC,Wolverhampton Wanderers FC,1,2,1,2,FINISHED,A
20110001,2011-12,1,2011-08-13T00:00:00Z,Fulham FC,Aston Villa FC,0,0,0,0,FINISHED,D
20110002,2011-12,1,2011-08-13T00:00:00Z,Liverpool FC,Sunderland AFC,1,1,1,1,FINISHED,D
20110003,2011-12,1,2011-08-13T00:00:00Z,Newcastle United FC,Arsenal FC,0,0,0,0,FINISHED,D
20110004,2011-12,1,2011-08-13T00:00:00Z,Queens Park Rangers FC,Bolton Wanderers FC,0,4,0,4,FINISHED,A
20110005,2011-12,1,2011-08-13T00:00:00Z,Wigan Athletic FC,Norwich City FC,1,1,1,1,FINISHED,D
20110006,2011-12,1,2011-08-14T00:00:00Z,Stoke City FC,Chelsea FC,0,0,0,0,FINISHED,D
20110007,2011-12,1,2011-08-14T00:00:00Z,West Bromwich Albion FC,Manchester United FC,1,2,1,2,FINISHED,A
20110008,2011-12,1,2011-08-15T00:00:00Z,Manchester City FC,Swansea City AFC,4,0,4,0,FINISHED,H
20110009,2011-12,2,2011-08-20T00:00:00Z,Swansea City AFC,Wigan Athletic FC,0,0,0,0,FINISHED,D
20110010,2011-12,2,2011-08-20T00:00:00Z,Sunderland AFC,Newcastle United FC,0,1,0,1,FINISHED,A
20110011,2011-12,2,2011-08-20T00:00:00Z,Everton FC,Queens Park Rangers FC,0,1,0,1,FINISHED,A
20110012,2011-12,2,2011-08-20T00:00:00Z,Aston Villa FC,Blackburn Rovers FC,3,1,3,1,FINISHED,H
20110013,2011-12,2,2011-08-20T00:00:00Z,Arsenal FC,Liverpool FC,0,2,0,2,FINISHED,A
20110014,2011-12,2,2011-08-20T00:00:00Z,Chelsea FC,West Bromwich Albion FC,2,1,2,1,FINISHED,H
20110015,2011-12,2,2011-08-21T00:00:00Z,Bolton Wanderers FC,Manchester City FC,2,3,2,3,FINISHED,A
20110016,2011-12,2,2011-08-21T00:00:00Z,Norwich City FC,Stoke City FC,1,1,1,1,FINISHED,D
20110017,2011-12,2,2011-08-21T00:00:00Z,Wolverhampton Wanderers FC,Fulham FC,2,0,2,0,FINISHED,H
20110018,2011-12,3,2011-08-22T00:00:00Z,Manchester United FC,Tottenham Hotspur FC,3,0,3,0,FINISHED,H
20110019,2011-12,3,2011-08-27T00:00:00Z,Wigan Athletic FC,Queens Park Rangers FC,2,0,2,0,FINISHED,H
20110020,2011-12,3,2011-08-27T00:00:00Z,Liverpool FC,Bolton Wanderers FC,3,1,3,1,FINISHED,H
20110021,2011-12,3,2011-08-27T00:00:00Z,Swansea City AFC,Sunderland AFC,0,0,0,0,FINISHED,D
20110022,2011-12,3,2011-08-27T00:00:00Z,Blackburn Rovers FC,Everton FC,0,1,0,1,FINISHED,A
20110023,2011-12,3,2011-08-27T00:00:00Z,Aston Villa FC,Wolverhampton Wanderers FC,0,0,0,0,FINISHED,D
20110024,2011-12,3,2011-08-27T00:00:00Z,Chelsea FC,Norwich City FC,3,1,3,1,FINISHED,H
20110025,2011-12,3,2011-08-28T00:00:00Z,Manchester United FC,Arsenal FC,8,2,8,2,FINISHED,H
20110026,2011-12,3,2011-08-28T00:00:00Z,Newcastle United FC,Fulham FC,2,1,2,1,FINISHED,H
20110027,2011-12,3,2011-08-28T00:00:00Z,Tottenham Hotspur FC,Manchester City FC,1,5,1,5,FINISHED,A
20110028,2011-12,3,2011-08-28T00:00:00Z,West Bromwich Albion FC,Stoke City FC,0,1,0,1,FINISHED,A
20110029,2011-12,4,2011-09-10T00:00:00Z,Wolverhampton Wanderers FC,Tottenham Hotspur FC,0,2,0,2,FINISHED,A
20110030,2011-12,4,2011-09-10T00:00:00Z,Stoke City FC,Liverpool FC,1,0,1,0,FINISHED,H
20110031,2011-12,4,2011-09-10T00:00:00Z,Manchester City FC,Wigan Athletic FC,3,0,3,0,FINISHED,H
20110032,2011-12,4,2011-09-10T00:00:00Z,Sunderland AFC,Chelsea FC,1,2,1,2,FINISHED,A
20110033,2011-12,4,2011-09-10T00:00:00Z,Bolton Wanderers FC,Manchester United FC,0,5,0,5,FINISHED,A
20110034,2011-12,4,2011-09-10T00:00:00Z,Arsenal FC,Swansea City AFC,1,0,1,0,FINISHED,H
20110035,2011-12,4,2011-09-10T00:00:00Z,Everton FC,Aston Villa FC,2,2,2,2,FINISHED,D
20110036,2011-12,4,2011-09-11T00:00:00Z,Fulham FC,Blackburn Rovers FC,1,1,1,1,FINISHED,D
20110037,2011-12,4,2011-09-11T00:00:00Z,Norwich City FC,West Bromwich Albion FC,0,1,0,1,FINISHED,A
20110038,2011-12,5,2011-09-12T00:00:00Z,Queens Park Rangers FC,Newcastle United FC,0,0,0,0,FINISHED,D
20110039,2011-12,5,2011-09-17T00:00:00Z,Aston Villa FC,Newcastle United FC,1,1,1,1,FINISHED,D
20110040,2011-12,5,2011-09-17T00:00:00Z,Blackburn Rovers FC,Arsenal FC,4,3,4,3,FINISHED,H
20110041,2011-12,5,2011-09-17T00:00:00Z,Bolton Wanderers FC,Norwich City FC,1,2,1,2,FINISHED,A
